面积,直径,周长,形状因子,椭圆宽度,椭圆高度,椭圆方向角,椭圆因子,规则度,总凹陷深度,最大凹陷深度,凹陷数目,凹陷角度,凹陷椭圆夹角,重叠系数1,重叠系数2,平均半径,最大半径,最小半径,半径方差,球形度,eccentricity,elongation,freq_low_fft,freq_high_fft,FFT_Harmon1,FFT_Harmon2,FFT_Harmon3,FFT_Harmon4,FFT_Harmon5,FFT_Harmon6,FFT_Harmon7,FFT_Harmon8,FFT_Harmon9,FFT_Harmon10,FFT_Harmon11,FFT_Harmon12,FFT_Harmon13,FFT_Harmon14,FFT_Harmon15,FFT_Harmon16,FFT_Harmon17,FFT_Harmon18,FFT_Harmon19,FFT_Harmon20,FFT_Harmon21,FFT_Harmon22,FFT_Harmon23,FFT_Harmon24,FFT_Harmon25,FFT_Harmon26,FFT_Harmon27,FFT_Harmon28,FFT_Harmon29,FFT_Harmon30,FFT_Harmon31,平均灰度,灰度方差,灰度标准差,灰度标准误,灰度扭斜度,灰度峰态,平均光密度,光密度方差,光密度标准差,光密度标准误,光密度扭斜度,光密度峰态,积分光密度,边缘梯度,轮廓H1,轮廓H2,轮廓H3,轮廓H4,轮廓H5,轮廓H6,轮廓H7,DNAH1,DNAH2,DNAH3,DNAH4,DNAH5,DNAH6,DNAH7,红色H1,红色H2,红色H3,红色H4,红色H5,红色H6,红色H7,绿色H1,绿色H2,绿色H3,绿色H4,绿色H5,绿色H6,绿色H7,蓝色H1,蓝色H2,蓝色H3,蓝色H4,蓝色H5,蓝色H6,蓝色H7,角度二阶矩,对比度,相关系数,反差矩,熵,小梯度优势,大梯度优势,灰度分布不均匀性,梯度分布不均匀性,灰度熵,梯度熵,惯性,DarkLengthMean,DarkLengthVari,DarkLengthStd,DarkLengthCV,DarkLengthSkewness,DarkLengthKurtosis,DarkDistMean,DarkDistVari,DarkDistStd,DarkDistCV,DarkDistSkewness,DarkDistKurtosis,DarkGreyMean,DarkGreyVari,DarkGreyStd,DarkGreyCV,DarkGreySkewness,DarkGreyKurtosis,DarkODMean,DarkODVari,DarkODStd,DarkODCV,DarkODSkewness,DarkODKurtosis,BrightLengthMean,BrightLengthVari,BrightLengthStd,BrightLengthCV,BrightLengthSkewness,BrightLengthKurtosis,BrightDistMean,BrightDistVari,BrightDistStd,BrightDistCV,BrightDistSkewness,BrightDistKurtosis,BrightGreyMean,BrightGreyVari,BrightGreyStd,BrightGreyCV,BrightGreySkewness,BrightGreyKurtosis,BrightODMean,BrightODVari,BrightODStd,BrightODCV,BrightODSkewness,BrightODKurtosis,DarkReletiveLengthMean,DarkReletiveLengthVari,DarkReletiveLengthStd,DarkReletiveDistMean,DarkReletiveDistVari,DarkReletiveDistStd,BrightReletiveLengthMean,BrightReletiveLengthVari,BrightReletiveLengthStd,BrightReletiveDistMean,BrightReletiveDistVari,BrightReletiveDistStd,DarkArea,DarkIOD,DarkAreaRatio,DarkDNARatio,BrightArea,BrightIOD,BrightAreaRatio,BrightDNARatio,BrightDarkGreyRatio,BrightDarkODRatio,BrightDarkLengthRatio,BrightDarkDistRatio,dnaIndex,归一角度二阶矩,归一对比度,归一相关系数,归一反差矩,归一熵,归一小梯度优势,归一大梯度优势,归一灰度分布不均匀性,归一梯度分布不均匀性,归一灰度熵,归一梯度熵,归一惯性,裸核指数,核红色最大光密度,核绿色最大光密度,核蓝色最大光密度,核黄色最大光密度,核色度平均值,核饱和度平均值,核色度方差,核饱和方差,胞浆红色光密度,胞浆绿色光密度,胞浆红绿光密度比,胞浆平均半径,胞浆最大半径,胞浆最小半径,核浆比,细胞长宽比,核偏心度,胞浆厚度平均值,胞浆厚度最大值,胞浆厚度最小值,斑点系数,归一胞浆厚度,核DAB积分强度,核DAB平均强度,浆DAB平均强度,label
47.9449,7.81315,31.9999,0.588359,5.95733,11.5636,133.413,0.883896,4.58586,3.03104,1.45579,2,23.9726,109.44,1.36666,0.036133,4.21014,6.26133,2.53514,3.07719,0.404888,1.07858,1.27868,2.80821,0.298805,0.891872,0.519957,0.592144,0.285334,0.313249,0.25984,0.070412,0.215172,0.284201,0.082053,0.175495,0.066299,0.036431,0.196232,0.217083,0.159146,0.151131,0.088692,0.071497,0.143368,0.14388,0.136234,0.100782,0.071376,0.038505,0.098085,0.113975,0.08253,0.082062,0.049566,0.018491,78.9793,669.315,25.8711,0.327568,0.303734,-0.913242,0.33064,0.021387,0.146242,0.442299,0.088172,-1.30785,16.405,0.514286,25.9721,211.208,15.4139,2.60701,14.3412,25.9909,14.3659,0.002663,2e-06,0,0,0,0,0,0.001659,1e-06,0,0,0,0,0,0.00214,1e-06,0,0,0,0,0,0.002663,2e-06,0,0,0,0,0,0.096504,0.498675,0.320383,0.788145,1.18286,0.083194,107.735,73.0867,34.1122,0.787883,1.14107,33.4796,1.39063,0.688947,0.830028,0.596871,0.800042,0.273714,1.58172,1.07597,1.03729,0.655798,1.15713,1.17987,59.9769,307.294,17.5298,0.292276,1.47285,1.24161,0.579801,0.012348,0.111123,0.191658,-1.06346,0.252868,0.812651,0.247621,0.497616,0.612336,1.22615,0.770228,2.74867,4.15422,2.03819,0.741517,0.173019,-1.79102,102.37,349.525,18.6956,0.182627,0.407998,0.140975,0.339419,0.006334,0.079584,0.234472,0.123582,0.012013,0.200836,0.01437,0.119873,0.228433,0.022442,0.149806,0.117364,0.005165,0.071866,0.396965,0.086646,0.294356,16.71,9.68848,0.348525,0.590581,13.8822,4.71187,0.289544,0.287222,1.70683,0.585406,0.584375,1.73778,2.04485,0.096841,1.07241,0.411755,0.699401,1.21061,0.044589,143.684,89.7602,66.8418,0.713566,1.00795,25.0536,0,1.07149,0.885907,0.70873,0.70873,2.23315,143.834,6.86249,16.9918,0.372751,0.234198,1.5916,18.2596,35.4937,8.60455,0.375041,1.26415,1.82857,12.4479,30.833,1.43409,1,12.4479,0,0,0,1
23.0727,5.42006,20.0922,0.718191,4.12944,7.40707,170.168,0.957995,3.55222,2.23081,0.413137,1,-82.91,253.078,1.11731,0.051653,2.84148,4.43468,1.79261,1.42005,0.404226,1.14068,1.27061,1.18583,0.231531,0.595703,0.225482,0.162302,0.296608,0.266474,0.194706,0.188366,0.213043,0.166165,0.206372,0.13084,0.12566,0.104062,0.152688,0.130433,0.174435,0.113561,0.11191,0.074827,0.122224,0.080252,0.129103,0.083758,0.088506,0.065126,0.089866,0.063298,0.091054,0.05313,0.064548,0.03899,88.3333,651.773,25.5298,0.289017,1.08196,0.99824,0.33751,0.013945,0.11809,0.349886,-0.356017,-0.029594,7.9391,0.795455,24.6641,177.645,5.28128,0.561877,0.776672,4.19233,0.448991,0.003114,3e-06,0,0,0,0,0,0.00192,1e-06,0,0,0,0,0,0.002431,2e-06,0,0,0,0,0,0.003114,3e-06,0,0,0,0,0,0.082165,1.82402,0.272562,0.629253,1.27781,0.030638,174.603,40.9153,47.963,0.753413,0.885046,55.8836,1.18964,0.261807,0.511671,0.430104,0.891316,0.245396,0.846114,0.223657,0.472924,0.558937,1.51411,1.84641,70.1724,123.051,11.0928,0.15808,-0.060448,-0.587566,0.501821,0.005,0.070712,0.14091,0.398241,-0.429061,0.635563,0.121583,0.348688,0.548628,1.18444,0.607389,1.89505,1.11588,1.05635,0.557429,0.199772,-1.29878,117.25,547.573,23.4003,0.199576,0.550881,-0.811921,0.281515,0.007144,0.084523,0.300245,-0.308907,-1.11331,0.247667,0.011347,0.106523,0.176149,0.009694,0.098456,0.132315,0.00527,0.072592,0.394522,0.048364,0.219918,11.1829,5.61179,0.48468,0.706855,7.19816,2.02639,0.311978,0.255241,1.67088,0.560986,0.534247,2.23971,0.989592,0.031335,5.68742,0.089349,0.462509,1.67285,0.007802,224.608,25.6772,116.714,0.962235,0.461317,49.4868,0,1.00783,0.816826,0.636179,0.636179,1.92349,122.251,7.32398,20.2387,0.18001,0.072722,2.47532,20.0952,37.6449,8.96307,0.22215,1.62617,0.939394,15.3986,33.3426,3.94375,1,15.3986,0,0,0,0
46.2096,7.67046,29.7618,0.65556,6.1305,10.1571,132.448,0.94248,4.95634,3.73323,0.717045,2,45.019,87.4292,1.10338,0.034602,4.03295,5.96701,2.8905,1.83343,0.484414,1.08727,1.18753,1.72071,0.260033,0.623118,0.334961,0.45972,0.174595,0.296226,0.034824,0.100353,0.241464,0.163616,0.280677,0.146045,0.137566,0.147128,0.123139,0.161927,0.173333,0.081333,0.130186,0.05508,0.138154,0.13075,0.119908,0.097612,0.044005,0.072844,0.086821,0.09818,0.097524,0.051785,0.04654,0.035227,110.249,246.913,15.7135,0.142528,0.835982,0.388849,0.204844,0.00356,0.059663,0.291263,-0.500792,-0.141496,9.74222,0.602404,23.1906,102.076,3.52158,0.316501,0.298488,1.5365,-0.039467,0.004152,3e-06,0,0,0,0,0,0.001943,1e-06,0,0,0,0,0,0.003276,2e-06,0,0,0,0,0,0.004153,3e-06,0,0,0,0,0,0.148596,0.451755,0.75817,0.796939,0.987277,0.053613,85.8653,110.337,31.7098,0.609366,1.13777,17.3756,1.14196,0.900136,0.948755,0.830812,2.19146,5.00127,2.08174,2.02593,1.42335,0.683731,0.976477,0.523111,96.3505,80.4801,8.97107,0.093109,1.05081,0.583852,0.360338,0.001514,0.038916,0.107998,-0.850639,0.235564,0.749638,0.259998,0.5099,0.680195,1.56482,2.89445,2.17871,1.95299,1.3975,0.641431,0.569489,-0.375449,126.021,206.512,14.3705,0.114033,0.482759,-0.597251,0.244713,0.002376,0.048741,0.199176,-0.292382,-0.794673,0.167991,0.019479,0.139569,0.30624,0.043842,0.209385,0.110277,0.005627,0.07501,0.320505,0.042264,0.205582,12.4682,4.49277,0.269819,0.461165,12.2112,2.98822,0.264256,0.306729,1.30794,0.67912,0.656448,1.04658,1.21435,0.082378,1.07962,0.44823,0.66701,1.23,0.024314,159.702,93.0466,77.8964,0.688695,0.956259,29.899,0,0.873127,0.528761,0.4077,0.4077,6.4919,148.159,3.53415,14.3797,0.161829,0.078727,2.05556,21.0345,39.4375,12.1898,0.295107,1.9186,1.97297,15.2121,34.4182,7.17045,1,15.2121,0,0,0,0
39.3971,7.08251,25.2855,0.774315,5.66927,8.98039,18.1117,0.982755,5.02375,2.44898,0.358523,1,15.9521,2.15953,1.20487,0.173333,3.60037,4.67456,2.2675,1.227,0.485071,1.10607,1.22173,1.25996,0.272023,0.672649,0.385067,0.2793,0.322278,0.243011,0.081615,0.087341,0.094841,0.096057,0.173243,0.169521,0.113927,0.152516,0.121355,0.124602,0.128721,0.122632,0.095646,0.097839,0.10683,0.093242,0.11408,0.114331,0.103257,0.103495,0.118303,0.090771,0.111208,0.106452,0.059597,0.097018,100.185,434.005,20.8328,0.207942,0.795934,0.492669,0.270557,0.00764,0.08741,0.323073,-0.249207,-0.086688,10.8852,0.455,22.9885,108.127,0.628661,0.036922,0.005304,0.327061,0.003601,0.003388,2e-06,0,0,0,0,0,0.001843,1e-06,0,0,0,0,0,0.002766,1e-06,0,0,0,0,0,0.003388,2e-06,0,0,0,0,0,0.111103,0.768918,0.49472,0.734395,1.15801,0.035101,127.987,74.7179,45.1254,0.703398,1.02918,29.163,1.31844,0.663148,0.814339,0.617654,0.756598,-0.46396,1.04087,0.414364,0.643711,0.618434,0.819432,-0.037021,84.1754,112.093,10.5874,0.125778,-0.347725,-0.595408,0.42081,0.003213,0.056687,0.134709,0.592213,-0.396916,0.650652,0.099242,0.315027,0.484171,0.754571,-0.293449,2.80843,1.97465,1.40522,0.500359,-0.360166,-0.781619,126.265,285.344,16.8921,0.133783,0.376459,-0.360828,0.244937,0.00333,0.057709,0.235609,-0.075993,-0.410841,0.210053,0.016832,0.12974,0.165831,0.010518,0.102556,0.103661,0.002519,0.05019,0.447436,0.050122,0.223879,14.6534,6.1663,0.371941,0.566485,10.6687,2.61316,0.270799,0.240066,1.50002,0.582061,0.493502,2.69815,1.35682,0.080224,1.98769,0.243453,0.627981,1.37825,0.026159,164.179,66.4734,72.9373,0.796835,0.913646,31.232,0,0.918884,0.624029,0.519674,0.519674,4.85623,134.486,4.05432,15.7359,0.087429,0.043973,1.98824,14.1043,29.3989,6.45341,0.368358,1.36986,3.55556,8.58303,24.3795,1.43409,1,8.58303,0,0,0,0
46.0811,7.65978,26.5966,0.818594,6.96285,8.52407,19.5362,0.986035,6.12368,2.92058,0.320672,2,-68.2274,87.7636,1.14681,0.137143,3.87098,4.59133,2.86818,0.669131,0.624695,1.09365,1.06488,1.15741,0.28379,0.234281,0.463492,0.143186,0.281597,0.101122,0.086298,0.092458,0.12338,0.153455,0.187991,0.173104,0.112427,0.116472,0.151814,0.104148,0.158116,0.135149,0.089988,0.122416,0.098558,0.098304,0.126534,0.115761,0.09558,0.117203,0.096557,0.091023,0.119567,0.08869,0.081026,0.096847,111.287,146.183,12.0906,0.108644,0.32616,0.51047,0.186553,0.002224,0.047156,0.252774,0.073467,0.525866,8.77639,0.301,20.9605,21.3012,0.067714,0.000639,-4e-06,-0.002827,-2e-06,0.003968,1e-06,0,0,0,0,0,0.001955,0,0,0,0,0,0,0.003147,0,0,0,0,0,0,0.003992,1e-06,0,0,0,0,0,0.188234,0.438794,1.02461,0.805936,0.890718,0.062936,90.6535,129.409,36.6483,0.54056,1.09904,21.3648,1.16809,0.719539,0.848257,0.726191,1.36523,1.28949,2.18475,2.44107,1.56239,0.715136,1.13229,0.370985,100.038,65.8441,8.11444,0.081113,-0.601186,-0.063791,0.34373,0.001322,0.036357,0.105773,0.792756,0.187373,0.693144,0.158974,0.398716,0.575228,1.1062,0.601296,2.97062,2.25126,1.50042,0.505087,0.442774,-0.025964,125.467,87.5917,9.35905,0.074593,0.45951,-0.32697,0.245068,0.001026,0.032032,0.130707,-0.302333,-0.496358,0.172074,0.015615,0.124959,0.32184,0.052973,0.230159,0.102109,0.00345,0.058736,0.437608,0.048854,0.22103,13.368,4.59499,0.290098,0.523562,11.8255,2.89807,0.256625,0.330212,1.25419,0.712967,0.593399,1.35971,1.09396,0.096764,1.0976,0.441076,0.673176,1.20359,0.031548,141.459,94.9843,56.1234,0.690311,1.02984,24.0656,0,0.814874,0.505543,0.40187,0.403822,4.70218,135.525,2.98761,10.4443,0.335159,0.145968,2.29611,13.7565,26.8892,8.60455,0.389763,1.89831,1.51724,7.91977,21.8699,2.50966,1,7.91977,0,0,0,0
35.798,6.75126,22.9604,0.853292,5.87805,7.83431,151.993,0.987253,5.31216,1.65511,0,0,0,151.993,1.10412,0.046875,3.40927,4.37633,2.53514,0.497833,0.579284,1.11544,1.12192,1.23479,0.261719,0.367419,0.296402,0.340463,0.260527,0.272711,0.123768,0.086218,0.135049,0.176672,0.156474,0.176135,0.105307,0.116615,0.122992,0.147977,0.126142,0.163253,0.094097,0.120007,0.112552,0.109269,0.124277,0.103221,0.098578,0.085678,0.102671,0.08413,0.077327,0.079214,0.0303,0.067869,108.683,375.364,19.3743,0.178264,0.531955,0.119818,0.242447,0.005901,0.076815,0.316831,0.017783,0.356299,8.94401,0.689286,21.4703,43.1187,0.333915,0.014775,0.000908,0.080145,0.000365,0.004021,1e-06,0,0,0,0,0,0.00218,0,0,0,0,0,0,0.003181,1e-06,0,0,0,0,0,0.004045,1e-06,0,0,0,0,0,0.093035,1.27273,0.386329,0.670638,1.22103,0.022365,145.695,70.7133,46.1756,0.677499,0.994087,33.7993,1.17335,0.355672,0.596382,0.508274,0.100349,-0.820725,1.16048,1.03827,1.01896,0.878047,1.11859,0.00068,94.8828,137.632,11.7317,0.123644,-0.347732,0.391593,0.368722,0.00316,0.056213,0.152455,0.846537,1.65515,0.803585,0.391631,0.625804,0.778765,1.54945,1.94048,1.96244,1.0907,1.04437,0.532177,1.17547,1.43227,130.131,253.826,15.9319,0.12243,0.066655,-1.27977,0.231282,0.002861,0.053484,0.231249,0.067188,-1.28115,0.196109,0.009936,0.099677,0.193959,0.029004,0.170305,0.134308,0.01094,0.104595,0.327995,0.030468,0.174551,16.4529,6.06657,0.459605,0.678282,10.7972,2.49721,0.301616,0.279205,1.37149,0.627253,0.684866,1.69106,1.11485,0.033704,4.59252,0.10977,0.499702,1.66525,0.007731,211.186,42.2545,129.509,0.913764,0.617932,49.215,0,0.814874,0.60403,0.443263,0.445215,1.64809,118.052,5.34092,15.4811,0.178292,0.069784,2.55491,11.7165,29.0403,6.45341,0.336179,1.83077,1.57895,6.31717,23.304,1.07557,1,6.31717,0,0,0,0
49.5516,7.94299,28.7477,0.75344,7.04228,9.47933,112.764,0.942694,5.88908,2.83479,0.521727,3,12.5341,100.23,1.20361,0.142857,4.04103,5.79211,2.73043,1.16534,0.471405,1.08775,1.1649,1.26321,0.232493,0.587005,0.352455,0.372734,0.047874,0.165581,0.072173,0.169561,0.266492,0.173991,0.157407,0.137011,0.077449,0.144105,0.203517,0.141388,0.153838,0.086645,0.045722,0.08712,0.142614,0.093507,0.134023,0.061071,0.044104,0.069658,0.095693,0.08237,0.087959,0.039728,0.015587,0.040266,61.2714,264.294,16.2571,0.26533,0.809493,-0.149914,0.400252,0.012198,0.110442,0.275932,-0.300223,-0.406168,20.4762,0.664674,21.6931,28.7175,5.67183,0.057966,-0.024794,-0.152133,0.007844,0.002123,0,0,0,0,0,0,0.00122,0,0,0,0,0,0,0.001692,0,0,0,0,0,0,0.002129,0,0,0,0,0,0,0.201902,0.47746,0.802747,0.804275,0.927368,0.06623,103.762,133.485,39.2892,0.575354,1.11424,39.8652,1.60757,1.25857,1.12186,0.697861,1.65271,4.74542,1.69771,2.91595,1.70761,1.00583,2.33982,5.26286,48.4863,50.4309,7.10147,0.146463,-0.000624,0.252421,0.661595,0.004291,0.065503,0.099007,0.483903,0.409518,0.889668,0.695792,0.834142,0.937588,1.69758,1.80413,4.21791,4.58769,2.14189,0.507808,-0.718436,-1.04632,82.8318,149.254,12.2169,0.147491,-0.467881,-0.605554,0.429258,0.004588,0.067738,0.157802,0.747707,-0.191425,0.228371,0.025399,0.159371,0.241176,0.058847,0.242583,0.126386,0.014042,0.118498,0.599196,0.092584,0.304276,18.7666,12.4159,0.378729,0.606356,13.7536,5.90385,0.277562,0.288327,1.70835,0.648823,0.553424,2.48447,2.55232,0.077372,1.2877,0.343662,0.663849,1.30087,0.021652,157.402,85.6176,79.6961,0.754805,0.958227,27.0539,0.08,1.30496,1.00197,0.755288,0.75724,0.346741,165.756,7.85053,21.2568,0.522307,0.360448,1.44905,15.7284,39.4375,6.09489,0.275416,2.06349,0.931034,9.74823,34.4182,0,1,10.5959,0,0,0,1
47.8806,7.80791,29.4647,0.693029,6.00817,10.773,159.18,0.939472,5.07079,3.1682,1.0938,3,18.4427,140.737,1.19693,0.036281,3.99876,5.781,2.40504,2.68213,0.416025,1.08711,1.4071,1.77769,0.358139,1.20128,0.31769,0.301067,0.431374,0.315699,0.206114,0.068341,0.122986,0.242758,0.197013,0.204903,0.124171,0.040421,0.102604,0.122967,0.154243,0.19212,0.122778,0.113537,0.089782,0.144686,0.141969,0.137879,0.13459,0.087962,0.093372,0.137279,0.121895,0.147047,0.137345,0.088688,122.611,138.675,11.7761,0.096044,-1.00884,2.98659,0.138977,0.002017,0.044914,0.323176,1.64696,5.03696,6.78828,0.387069,25.3654,191.854,5.87777,0.433666,-0.554621,-5.21335,0.373547,0.005606,1e-05,0,0,0,0,0,0.00269,2e-06,0,0,0,0,0,0.004352,6e-06,0,0,0,0,0,0.005646,1e-05,0,0,0,0,0,0.267735,0.37634,1.20245,0.824472,0.780761,0.086762,76.5316,171.684,29.7089,0.46099,1.15839,20.3797,0.902946,0.41894,0.647256,0.716827,0.666534,-1.31102,1.81574,1.06203,1.03055,0.567563,0.795197,0.502777,108.192,167.716,12.9505,0.119699,-1.03809,-0.049592,0.311623,0.003146,0.056087,0.179984,1.20799,0.386472,0.654694,0.184549,0.429592,0.656172,1.64687,2.64135,1.72091,1.41392,1.18909,0.690963,1.33774,2.24692,133.375,65.7533,8.10884,0.060797,0.217755,-0.165262,0.21814,0.000694,0.026344,0.120768,-0.054146,-0.188557,0.130491,0.00875,0.09354,0.262407,0.022181,0.148932,0.094615,0.003854,0.062083,0.248701,0.02953,0.171843,10.026,3.12433,0.209396,0.460253,12.3397,2.69178,0.257718,0.396533,1.23276,0.700013,0.725064,0.947771,0.846145,0.10764,1.03308,0.476247,0.673963,1.14815,0.032348,139.739,116.484,50.8127,0.627634,1.06406,27.5114,0,0.814874,0.505543,0.387312,0.389263,4.89999,124.492,2.18839,13.6644,0.378934,0.203955,1.85793,20.5971,39.4375,8.96307,0.309777,1.12214,1.97297,14.7604,34.7767,2.86818,1,14.7604,0,0,0,0
45.4384,7.60618,25.5825,0.872436,7.26833,8.10315,141.026,0.979801,6.51517,1.61503,0,0,0,141.026,1.0443,0.03125,3.80755,4.53499,3.2267,0.376443,0.711512,1.09784,1.04876,1.30411,0.288253,0.174053,0.372099,0.239654,0.219556,0.17518,0.17064,0.148834,0.27437,0.163943,0.198351,0.151587,0.12072,0.135597,0.192643,0.125969,0.174903,0.092564,0.11156,0.101858,0.154762,0.12584,0.140006,0.078519,0.074752,0.06525,0.102068,0.103312,0.096241,0.082701,0.050612,0.046922,108.133,147.821,12.1582,0.112438,-0.122449,0.453877,0.147847,0.002513,0.050126,0.339042,0.553722,0.904734,6.87947,0.469565,20.6384,4.91223,0.651877,0.000263,-3e-06,-0.000382,1e-06,0.003844,0,0,0,0,0,0,0.00193,0,0,0,0,0,0,0.002997,0,0,0,0,0,0,0.003867,0,0,0,0,0,0,0.181655,0.446411,1.0621,0.796954,0.876119,0.048136,83.0639,131.867,27.7222,0.498004,1.14961,17.3944,0.94835,0.244638,0.494609,0.521546,1.34576,2.76959,1.64727,0.874487,0.93514,0.567692,1.81259,4.38851,94.1515,66.2739,8.14088,0.086466,-0.657859,0.442678,0.370285,0.001523,0.039028,0.105399,0.931191,0.998237,0.891935,0.142176,0.377063,0.422747,0.101525,-1.15558,2.09138,1.34872,1.16135,0.5553,0.497879,-0.90788,120.173,65.5559,8.09666,0.067375,0.657441,0.599618,0.263573,0.000829,0.0288,0.109268,-0.452187,0.25865,0.140688,0.005384,0.073375,0.244373,0.019246,0.138728,0.132319,0.003129,0.055937,0.310257,0.029682,0.172286,12.7253,4.71199,0.280057,0.684936,14.1392,3.72672,0.311174,0.541716,1.27638,0.71181,0.940512,1.26961,0.857511,0.067993,1.38259,0.353166,0.627134,1.32129,0.017988,165.636,81.7889,73.7278,0.714205,0.943697,32.45,0,0.869232,0.566241,0.422074,0.424025,3.62431,136.185,3.4877,14.8196,0.434564,0.233896,1.85794,24.0354,39.4375,7.17045,0.240441,1.92523,1.75,18.195,33.7011,1.43409,1,18.195,0,0,0,0
71.3389,9.53056,32.84,0.831224,8.4231,10.8564,179.546,0.990772,7.56757,3.44088,0.393975,2,24.4543,155.091,1.11885,0.02552,4.78235,5.48434,3.65623,0.697033,0.666667,1.07803,1.11556,0.933284,0.444125,0.502522,0.280371,0.152974,0.212978,0.29361,0.094481,0.139182,0.132957,0.138294,0.189544,0.194929,0.138789,0.158777,0.126826,0.14843,0.147898,0.18252,0.135516,0.164203,0.145707,0.136871,0.149997,0.153498,0.137163,0.153403,0.137939,0.123914,0.12566,0.124254,0.103306,0.135534,128.924,146.39,12.0992,0.093847,-0.400726,0.936027,0.139635,0.001782,0.042214,0.302318,0.846504,2.03304,10.1409,0.452823,21.2182,33.0526,0.169971,0.002382,-2.8e-05,-0.008298,2.5e-05,0.005257,2e-06,0,0,0,0,0,0.002547,0,0,0,0,0,0,0.004249,1e-06,0,0,0,0,0,0.005299,2e-06,0,0,0,0,0,0.161699,0.595768,0.834738,0.760069,0.94372,0.0411,103.04,206.824,49.2453,0.520416,1.12975,19.7997,0.945196,0.41384,0.643304,0.680604,2.08575,5.53471,1.49555,1.61687,1.27156,0.85023,1.3695,1.6667,116.909,84.0186,9.16617,0.078404,-1.32024,2.06272,0.276017,0.001316,0.036273,0.131414,1.61011,2.96186,0.826915,0.331203,0.575502,0.695963,1.73947,3.54132,1.77193,1.38828,1.17825,0.664956,2.76243,10.9407,141.944,46.7826,6.83978,0.048187,0.458587,-0.062777,0.190802,0.000431,0.02075,0.108749,-0.349825,-0.343088,0.111907,0.005801,0.076165,0.177067,0.022665,0.150548,0.097903,0.004643,0.068137,0.209789,0.01946,0.139501,24.0367,6.63454,0.336937,0.654238,20.5662,3.92406,0.288288,0.386955,1.21414,0.691268,0.874861,1.1848,1.26404,0.053746,1.8877,0.264376,0.572954,1.42766,0.0145,184.206,119.266,159.608,0.766515,0.845295,36.0225,0,0.647383,0.39991,0.325164,0.327116,6.96991,115.485,2.5758,11.9258,0.208384,0.108584,1.91911,21.981,39.4375,10.0386,0.3256,1.91667,1.68293,15.1906,33.3426,3.58523,1.1109,15.1906,0,0,0,0
